////////////////////////////////////////////////////////////////////////////////									
// 	[Text Ver]	0.0.2.8							
//	[작업자]	박혜진							
//	[작업일]	2016-07-27 05:24 pm							
//	[작업 내용]	닉시스 호수 이동명령창 추가							
////////////////////////////////////////////////////////////////////////////////									
// 서버용 파일은 로랜협곡 주석을 제외하고 클라이언트용 파일은 로랜협곡 주석처리 해야함									
// 로랜협곡의 순서는 변경 불가능 (24번째 반드시 유지)									
//MaxLevel 추가. MinLevel은 최소입장 가능 레벨, MaxLevel은 최대 입장 가능 레벨이다.									
//index	Movename(kor)	Movename(eng)	Zen	MinLevel	MaxLevel	GateNumber	난이도정렬순서	가나다정렬순서	몬스터 구분
1	"Arena"	"Arena"	2000	1	-1	50	0	0	-1
48	"Event Square"	"Eventmap_square"	20000	1	-1	503	1	44	-1
44	"Loren Market"	"Loren_Market"	10000	1	-1	333	2	17	-1
2	"Lorencia"	"Lorencia"	2000	10	-1	17	3	16	7
3	"Noria"	"Noria"	2000	10	-1	27	4	6	32
31	"Elbeland"	"Elbeland"	2000	10	-1	267	9	40	418
32	"Elbeland 2"	"Elbeland2"	2500	10	-1	268	10	41	422
43	"Elbeland 3"	"Elbeland3"	3000	10	-1	269	11	42	425
4	"Devias"	"Devias"	2000	10	-1	22	5	11	24
5	"Devias 2"	"Devias2"	2500	10	-1	72	6	12	19
6	"Devias 3"	"Devias3"	3000	10	-1	73	7	13	20
7	"Devias 4"	"Devias4"	3500	10	-1	74	8	14	20
8	"Dungeon"	"Dungeon"	3000	30	-1	2	12	8	11
9	"Dungeon 2"	"Dungeon2"	3500	40	-1	6	13	9	13
10	"Dungeon 3"	"Dungeon3"	4000	40	-1	10	14	10	8
11	"Atlans"	"Atlans"	4000	50	220	49	15	33	45
12	"Atlans 2"	"Atlans2"	4500	80	250	75	23	37	52
13	"Atlans 3"	"Atlans3"	5000	90	300	76	24	38	48
14	"LostTower"	"LostTower"	5000	50	-1	42	16	19	39
15	"LostTower 2"	"LostTower2"	5500	50	-1	31	17	20	34
16	"LostTower 3"	"LostTower3"	6000	50	-1	33	18	21	41
17	"LostTower 4"	"LostTower4"	6500	50	-1	35	19	22	37
18	"LostTower 5"	"LostTower5"	7000	50	-1	37	20	23	40
19	"LostTower 6"	"LostTower6"	7500	70	-1	39	21	24	35
20	"LostTower 7"	"LostTower7"	8000	70	-1	41	22	25	35
21	"Tarkan"	"Tarkan"	8000	140	-1	57	25	63	57
22	"Tarkan 2"	"Tarkan2"	8500	160	-1	77	28	64	61
50	"Ferea"	"Ferea"	50000	400	-1	509	40	65	730
25	"Aida"	"Aida1"	8500	150	-1	119	26	30	306
26	"Crywolf"	"Crywolf"	0	10	-1	118	56	58	-1
27	"Aida 2"	"Aida2"	8500	380	-1	140	37	31	550
23	"Icarus"	"Icarus"	10000	160	-1	63	29	45	70
